Source;Target;Type
Fm5-/7;G9;Directed
Gdim;Em;Directed
A;Fm7;Directed
F;F9;Directed
F9;Dm5-/7;Directed
A7;A4/7;Directed
F6;Fmaj7;Directed
Bb9;G7;Directed
A;Am;Directed
Fdim;D7;Directed
F#m;A7;Directed
F6;Cmaj7;Directed
G7;G7/13-;Directed
Am;C7;Directed
Dm7/13;E7;Directed
A#dim;A7;Directed
Cm7;Dm7;Directed
G7/9;G7;Directed
A5+;Dm7;Directed
Fdim;A7;Directed
Dm7;A;Directed
Fdim;C6;Directed
Dm6;G;Directed
Am7;Am5-/7;Directed
Cmaj7;Fm;Directed
Am5-/7;D7;Directed
Ddim;Am;Directed
Em;Edim;Directed
E7;A#7;Directed
Fm;Fm6;Directed
Gm7;E;Directed
Dm5-/7;G;Directed
A7/9-;Am;Directed
Am;G#7;Directed
Gdim;C7;Directed
G7/13-;C;Directed
G;Fm;Directed
G;D;Directed
C6;E4/7;Directed
D;D7;Directed
Dm7;A7/9-;Directed
G;Cmaj7;Directed
Am;Fdim;Directed
F;D#dim;Directed
F;F6;Directed
F;C#;Directed
F7;C#;Directed
C7;C;Directed
C;Bb;Directed
G7;Ddim;Directed
G7;Gm;Directed
C;G4/7;Directed
C;D#;Directed
Cdim;G7;Directed
G#dim;Dm5-/7;Directed
Am7;G7/13;Directed
G;Bm5-/7;Directed
Fm;D#;Directed
C7;D;Directed
D#m7;Cmaj7;Directed
Cmaj7;Em5-/7;Directed
Fm7;Fm5-/7;Directed
Fmaj7;G4/7;Directed
C;G#7;Directed
Gdim;Cdim;Directed
D#7;Bm;Directed
G;G7/13-;Directed
C;Cm7;Directed
D;Cdim;Directed
Am;G#dim;Directed
Am7;G7;Directed
Am;Dmaj7;Directed
