Source,Target
C,A9-
A9-,Dm7
Dm7,G7
G7,G7.5+.9
G7.5+.9,C
C,Ebdim7
Ebdim7,Dm7
G7,C
Dm7,G9
G9,C
C,C7
C7,F6
F6,Dm7
C,G7
G7,Bdim7
Bdim7,E7
E7,Am7
Am7,D9
D9,G7.5+
G7.5+,C
C,Am7
Am7,Dm
Dm,G7
C,Fm6
Fm6,C
Cmaj7,Am7
Am7,Dm7
Dm7,G7.5+
G7.5+,Cm7
Cm7,F7
F7,G7.5+
G7.5+,Ab9
Ab9,Dm7
Dm7,G7
G7,Em7
Em7,A7
A7,Dm7
G7,C
C,F9
F9,C
C,Gm7
Gm7,C7
C7,Fm
Fm,Fm7.7+
Fm7.7+,Fm7
Fm7,Bb9
Bb9,Eb6
Eb6,Gm7.5-
Gm7.5-,C7
C7,Fm7
Fm7,Bb7
Bb7,Fm7
Fm7,Dm7
G7,Cmaj7
Dm7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Cmaj7
E7,A7
A7,D7
D7,G7
G7,C7
C7,F7
F7,D7
D7,D9-
D9-,C
C,Dm
Dm,C
C,F6
F6,C
C,Ebdim7
Ebdim7,Dm7
Dm7,C
C,E7
C,Am
Am,F9
F9,Am7
Am7,D7
D7,Gm
Gm,D7
D7,Dm7
Dm7,G7.5+
G7.5+,E7
C,Bb7
Bb7,A7
A7,Dm7
Dm7,Dm
Dm,G7.5+
G7.5+,C
C,Ab7
Ab7,G7
G7,C6
C,Ebdim7
Ebdim7,G7
G7,C
C,A7.5+
A7.5+,Dm7
Dm7,G9-
G9-,C
C,Fmaj7
Fmaj7,C
Ebdim7,Dm7
Dm7,G7
C,A7
A7,D7
D7,G7
C,Fm7
Fm7,Bb7
Bb7,Eb
Eb,Cm7
Cm7,Fm7.5-
Fm7.5-,Bb7
Cm7,Fm7
Bb7,Bb7.5+
Bb7.5+,A7
A7,Ab7
Ab7,G7
A7.5+,Dm
Dm,Fm6
Fm6,C
C,Fm6
Fm6,G7
G7,Dm7
C,Am7
Am7,Ab7
Ab7,C
C,Ab7
Ab7,C6
G7,C6
C6,Am7
Am7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Dbdim7
Dbdim7,Dm7
C6,A7
A7,Dm7
Cmaj7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,G7
G7,E7
E7,Am
Am,E7
E7,Gm7
Fmaj7,A7
A7,Dm
Dm,Bm7.5-
Bm7.5-,E7
Am,D9
D9,G7.3-.5-.9-.11-.13-
G7.3-.5-.9-.11-.13-,G7
G7,Dm
Am,F6
F6,Em7
Em7,Eb7
Eb7,Dm7
G7,C
C,F6
F6,C
C,G7
C7,Fmaj7
Fmaj7,Fm7
Fm7,Bb7
Bb7,Cmaj7
Cmaj7,Ebm7
Ebm7,Ab7
Ab7,Dm7
Dm7,G7
G7,Em7
Em7,Am7
Am7,D7
D7,Dm7
G7,Gb7
Gb7,Fmaj7
G7,C6
C6,Gm7
Gm7,C7
Dm7,A9
A9,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,F7
F7,Em7
Em7,Ebdim7
Ebdim7,Dm7
Dm7,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,Dm7
Dm7,G7.5+
G7.5+,C6
C6,Em7
Em7,A9-
A9-,C6
C6,Ebm7
Ebm7,Ab7
Ab7,Db
Db,Ebm7
Ebm7,Db
Db,Gbm7
Gbm7,B7
B7,Fm7
Fm7,Bbm7
Bbm7,Ebm7
Db,Dbm7
Dbm7,Gb9
Gb9,Bmaj7
Bmaj7,Ddim7
Ddim7,Dbm7
Dbm7,Gb7
Gb7,Gb7.5+
Gb7.5+,B9
B9,Bb9
Bb9,A9
A9,Eb9.11+
Eb9.11+,C
C,Ebm7
Ebm7,Ab7
Ab7,Dm7
Dm7,E7.5-
E7.5-,Am7
Am7,Am
Am,Gbm7
Gbm7,Fmaj7
Fmaj7,Em7.5-
Em7.5-,A9-
A9-,Dm7
Dm7,Bb7
Bb7,Em7
Em7,Ebdim7
Ebdim7,Dm7
Dm7,G7
G7,Em7
Em7,A7
A7,Dm7
G7,C
Dm7,G9-
G9-,C
C,Eb7
Eb7,Ab6
Ab6,Fm7
Fm7,Bbm7
Bbm7,Eb7
Eb7,Abmaj7
Abmaj7,F9-
F9-,Bbm7
Bbm7,Eb9
Eb9,Eb9-
Eb9-,Ab6
Fm7,Cm7
Cm7,Am7.5-
Am7.5-,Dm7
G7,Ab9
Ab9,G9
G9,C
Em7,Eb7
Eb7,Dm7
Dm7,Db7.5-
Db7.5-,Em7
Db7.5-,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Bb7
Bb7,Em7
Db7.5-,C6
C6,Fm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,Ebm7
Ebm7,Ab7
Ab7,Dbmaj7
Dbmaj7,Dm7.5-
Dm7.5-,Db7.5-
Bb7,Eb6
Eb6,D7
D7,Dbmaj7
Dbmaj7,C6
Dm7,G7
G7,C
C,Ebdim7
Ebdim7,Dm7
G7,G7.5+
G7.5+,C
C,Bm7
Bm7,E7
E7,Am7
Am7,D7
D7,Dm7
G7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Fm6
Fm6,C
C,Am7
Am7,Dm7
Dm7,G7
G7,Em7
Em7,Am7
Dm7,Bm7.5-
Bm7.5-,E9-
E9-,Am
Am,Am7.5+
Am7.5+,Am7
Am7,Em7
Em7,Ebm7
Ebm7,Dm7
G7,G9
G9,Em7
Em7,A9-
A9-,Dm7
G7,C
Am7,Dm9
Dm9,G7
Dm7,G9
G9,G9-
G9-,C6
C6,Gbm7.5-
Gbm7.5-,B7
B7,E
E,Fdim7
Fdim7,Gbm7
Gbm7,B7
B7,Abm7
Abm7,Dbm7
Dbm7,Gbm7
B7,E7
E7,A7
A7,Dm7
G9,C
C6,Bb6
Bb6,B6
B6,C6.9
Em,Gm
Gm,Bbmaj7
Bbmaj7,Bm7.5-
Bm7.5-,E9+
E9+,Am11
Am11,Gbm7.5-
Gbm7.5-,Fm7
Fm7,Cm11
Cm11,B7.3-.5-.9-.11-.13-
B7.3-.5-.9-.11-.13-,Cm11
Cmaj7,Cm7
Cm7,D7
D7,Db
Db,Cmaj7
Cmaj7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Fm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,G7
G7,Dm7
Dm7,Dm
Dm,Bm7.5-
Bm7.5-,E9-
E9-,Am7
Am7,Am
Am,Gbm7.5-
Gbm7.5-,B7
B7,Em7
Em7,A7
A7,Dm7
Bbmaj7.11+,A9+
A9+,Dm9
Dm9,Db7
Db7,Cm9
Cm9,F9-
F9-,Bbmaj7
Bbmaj7,A7.5+.9+
A7.5+.9+,Dm6.9
Dm6.9,E7.5+.9+
E7.5+.9+,Am9
Am9,Dm9
Dm9,Bbmaj7.11+
A9+,A9-
A9-,Dm6.9
D9,G7.5+
G7.5+,C9
C9,Fmaj7
Fmaj7,B7
B7,E7
E7,A7
A7,Dm
Dm,Dm7
Dm7,G7
G7,C
C,D7
D7,Dm7
Dm7,G9-
G9-,C
C,A7
A7,D9
C,E
E,Dbm
Dbm,Gbm7
Gbm7,B7
B7,E
E,A7
D9,Dm7
Dm7,Ebm7
Ebm7,Em7
Em7,A9-
A9-,D9
C,Dm7
Dm7,Em7
Em7,Fm7
Fm7,G7
G7,Em7
Em7,A9
A9,Dm7
Dm7,G7
G7,Gbm7.5-
Gbm7.5-,Fm7
Fm7,Em7
Em7,Ebdim7
Ebdim7,Em7
Em7,A9-
A9-,D7.5-
D7.5-,G7
A9-,Dm7
Dm7,G9-
G9-,C
C,Gm7
Gm7,C9
C9,Fmaj9
Fmaj9,D9
D9,Gm7
C9,Fmaj7
Fmaj7,F6
F6,Am7
Am7,D9
D9,Gmaj9
Gmaj9,E9
E9,Am7
D9,Dm7
G7,C
Cmaj7,Cm7
Cm7,F7
F7,Bbmaj7
Bbmaj7,Bbm7
Bbm7,Eb7
Eb7,Abmaj7
Abmaj7,Dm7.5-
Dm7.5-,G7
G7,Cm7
Cm7,Dm7.5-
G7,Cmaj9
Cmaj9,Dm
Dm,G7
G7,Em7
Em7,Eb7
Eb7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Dm7
Dm7,G9-
G9-,Em7
G9-,C6
C6,G7
G7,Dm7
G7,C
C,G7.5+
G7.5+,C
C,G7
G7,Gdim7
Gdim7,G7
G7,Dm7
Dm7,G7
Dm7,G7.5+
C,Dbdim7
Dbdim7,G7
G7,Gm7
Gm7,C7
C7,C7.5+
C7.5+,Fmaj7
Fmaj7,F6
F6,Bb9
Bb9,Am7
Am7,Adim7
Adim7,Dm7
G7,C
C,Dbdim
Dbdim,G7
G7,C6
C6,Fm
Fm,C
C7,Dm
Dm,Ebdim
Ebdim,C7
C7,Gm
Gm,C7
C7,F7
F7,C7
C7,Em
Em,A7
A7,Dm
Dm,G7
G7,C7
C7,A7
G7,D7
D7,G7
Gm,Gb7
Gb7,F7
F7,C
C,A7
C7,C7.5+
C7.5+,F7
C,Cmaj7
Cmaj7,C6
C6,Cmaj7
Cmaj7,Dm7
Dm7,G7
G7,Dm
Dm,Dm7.5+
Dm7.5+,Dm7
G7,Dm7
G7,Cmaj7
C6,E
E,Gbm7
Gbm7,B7
B7,Emaj7
Emaj7,E6
E6,Gmaj7
Gmaj7,Am7
Am7,D9-
D9-,G9
G9,F
F,C
C,Dm7
Dm7,C
Cmaj7,F6
F6,Dm7
G7,C
C,Gm
Gm,A7.5+
A7.5+,A7
A7,Dm
Dm,B7.5+
B7.5+,B7
B7,Cmaj7
Cmaj7,C7.5+
C7.5+,Fmaj7
Fmaj7,Fm
Fm,C
C,Ebdim7
Ebdim7,Dm7
Dm7,G7
G7,Dm7
Dm7,G7.5+
G7.5+,C
C,G7
G7,C
C,B7
B7,Em
Em,Em7.5+
Em7.5+,Em7
Em7,Gbm7.5-
Gbm7.5-,B7.5+
Em,Em7
Em7,Gbm7
Gbm7,B7.5+
B7,G6
G6,Am7
Am7,G6
G6,Abdim7
Abdim7,Am7
Am7,D9
D9,Gsus4.9
Gsus4.9,G9-
G9-,C
G7,Dm
Dm,Gsus4.9
C,Bb6
Bb6,C6
Cmaj7,D7.5-
D7.5-,Dm7
Dm7,G7
G7,Em7.5-
Em7.5-,A9-
A9-,Dm7
Dm7,E9-
E9-,A7
A7,A9-
A9-,D9-
D9-,Dbmaj7
Dbmaj7,Cmaj7
Dm7,Fm7
Fm7,Bb7
Bb7,Cmaj7
Cmaj7,Gbm7.5-
Gbm7.5-,B9-
B9-,Emaj7
Emaj7,Fdim7
Fdim7,Gbm7
Gbm7,B7
B7,E
E,Fdim7
E,Dbm7
Dbm7,Gbm7
B7,Gmaj7
Gmaj7,Abdim7
Abdim7,Am7
Am7,D7
D7,Dm7
Dm7,Dbdim
Dbdim,D7
D7,G7
G7,G7.5-
G7.5-,Cmaj7
Dm7,Fm
Fm,Bb7
Cmaj7,Am7
D7,Fm7
Fm7,Bb9
Bb9,D7
G7,C6
Am6,Gbm7.5-
Gbm7.5-,B9-
B9-,E9-
E9-,Am7
Am7,Fmaj7
Fmaj7,Dm7
Dm7,G7
G7,Em7
Em7,Am7
Am7,Dm7
Dm7,G9-
G9-,Cmaj7
Cmaj7,F9
F9,Bm7.5-
Bm7.5-,E7
E7,Am6
Dm7,G9
G9,Em7
Cmaj7,G7
G7,C
C,Em7.5-
Em7.5-,A9-
A9-,Dm7
Cmaj7,Em7.5-
Cmaj7,E7
E7,Cmaj7
Cmaj7,Dm7
G9,Cmaj7
Dm7,Dbmaj7
Dbmaj7,Cmaj9
Am7,F7
F7,Am6
Am6,F9
F9,Am9
Am9,Gbm7.5-
Gbm7.5-,C13
C13,Fmaj7
Fmaj7,E7.5-
E7.5-,Bm11
Bm11,Am9
Am9,F7
F9,B9-
B9-,F9
F9,E9-
E9-,Am7
Am7,F9
E9-,Am
Am,Gm9
Gm9,C9-
C9-,Fmaj9
Fmaj9,D9-
D9-,Gm9
Fmaj9,Bbmaj9
Bbmaj9,Gbm9
Gbm9,B9-
B9-,Emaj7
Emaj7,Amaj9
Amaj9,Bbm7
Bbm7,Eb7.5+
Eb7.5+,Bm7
Bm7,E7.5+
E7.5+,Am9
Gbm7.5-,Bm7
Bm7,E7.5-
E7.5-,E7
E7,Am9
F9,E7.5+
E7.5+,Am
Am,F9
E7.5+,Am7.5+
Am,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Bm7.5-
Bm7.5-,E7
E7,Am
Am,A7
A7,Dm7
Am,Bm7.5-
Cmaj7,D7
D7,Dm7
Dm7,Db7
Db7,Cmaj7
Cmaj7,Db7.5-
Db7.5-,Cmaj7
Cmaj7,Dbmaj7
Dbmaj7,Gb9
Gb9,Dbm7
Dbm7,A9
A9,Dm7
Dm7,Bb9
Bb9,Em7
Em7,A7.5-.9-
A7.5-.9-,Dm7
Dm7,G7.5-.9-
G7.5-.9-,Cmaj7
Dm7,Db7.5-
Cmaj7,Db7
Cmaj7,C
C,Ebdim7
Ebdim7,Dm7
Dm7,Bb
Bb,Dm6
Dm6,Bb
Bb,Dm7
Dm7,G9-
G9-,Cmaj7
Cmaj7,Em7.5-
Em7.5-,A9-
A9-,Dm7
Dm7,Fm6
Fm6,C
C,Am7
Am7,Dm7
Dm7,G7
G7,Cmaj7
Ebdim7,Dm
Dm,G9-
G9-,Dm7
G9-,C6
Dm7,Gm7
Gm7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Em7
Em7,F7
F7,Dm7
Cmaj7,Am7
Am7,Dm7
G7,Em7
Em7,A7
A7,Dm7
Dm7,Fm6
Fm6,Cmaj7
Cmaj7,E7
E7,Ebdim
Ebdim,Dm7
G7,C6
C,Am7
Am7,C
C,F
F,C
Am7,Dm7
Dm7,G9
G9,Dm7
G9,C
C,F6
F6,C
C,Am
Am,C
C,Ebdim7
Ebdim7,Dm7
Dm7,G7
G7,Dm7
C,Gbm7.5-
Gbm7.5-,B7
B7,Em
Em,B9-
B9-,Em
Em,Am6
Am6,Em
Em,Dm7
G7,C
C,G9
G9,Am7
Am7,D7
D7,C
C,Abdim
Abdim,Am7
Am7,Dm9
Dm9,G7
C,Fm
Fm,C
C,Dm7
Cmaj7,Fmaj7
Fmaj7,Em7
Em7,A7
A7,Dm7
Dm7,G9-
G9-,Cmaj7
Cmaj7,E9+
E9+,Am7
Am7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,C7
C7,C7.5-
C7.5-,F6
F6,Bm7.5-
Bm7.5-,E9-
E9-,Am7
Am7,E7.5+
E7.5+,Am7
Am7,D7
D7,Gmaj7
Gmaj7,G7
Dm7,Bm7.5-
Bm7.5-,E7.5-
E7.5-,Am7
Am7,Ab7
Ab7,Cmaj7
Fmaj7,Em7.5-
Em7.5-,A7
Dm7,C
C,Am7
G7,C
Dm7,G7
G7,Dm7
G7,C
C,Am7
Am7,Dm7
C,Em7.5-
Em7.5-,A9-
A9-,Dm7
G7,Dm9
Dm9,G7
C,Ebdim7
Ebdim7,Dm7
C,Ab7
Ab7,Dm7
Dm7,C
C,C7
C7,Gm7
Gm7,Cdim
Cdim,C7
C7,F
F,C9
C9,Db9
Db9,C9
C9,F
F,D7
D7,Am7
Am7,Ddim
Ddim,D7
D7,G7
Dm7,Eb9
Eb9,D9
D9,G7
A9-,C
Dm7,Db7
Db7,C6
Am,F
F,Am
Am,E7
E7,Bm7.5-
Bm7.5-,E7
E7,Am
Am,A7
A7,Dm
Dm,Am
Am,A
A,Adim
Adim,E7
E7,A
A,A6
A6,E7
A,Bbdim
Bbdim,E7
E7,Adim
A,A7
A7,D
D,F7
F7,A
A,E7
C,A7
A7,Dm7
Dm7,G9
G9,C
C,Ebdim7
Ebdim7,Dm7
Dm7,G7
G7,Dm
Dm,Bb
Bb,Dm6
Dm6,Bb
Bb,Dm7
G7,Dm7
G7,Cmaj7
Cmaj7,C6
C6,C7
C7,Em7.5-
Em7.5-,A7
A7,Dm
Dm,Dm7.5-
Dm7.5-,G7
G7,C
C,Bb7
Bb7,A7
C,Am7
Am7,Dm7
C,F
F,Fm6
Fm6,C6
Cmaj7,Am7
Am7,Em7
Em7,C7
C7,F
F,E7
E7,Am7
Am7,Fm6
Fm6,Cmaj7
Cmaj7,G7
G7,C7
C7,Fm7
Fm7,Bb7
Bb7,Cmaj7
Am7,Dm7
Dm7,G7
G7,C6
C6,Am7
G7,Cmaj7
C7,Fmaj7
Fmaj7,E7
Am7,Gbm7.5-
Gbm7.5-,B7
B7,E
E,Dbm7
Dbm7,Gbm7
Gbm7,B7
B7,Abm7
Abm7,Gdim7
Gdim7,Gbm7
Gdim7,Dm7
Fm6,C
C,G7
Bb7,C
C,Am7
G7,C
G7,Em7.5-
Em7.5-,A7
A7,Dm7.5-
Dm7.5-,F
F,G7
C,Am
Am,Am7
Fm6,C6
C,F7
F7,C
C,G7
G7,C
C,C7
C7,F
F,Gbdim7
Gbdim7,C
C6,Ab7
Ab7,G7
G7,C
C,C7
C7,Cm7
Cm7,Gm
Gm,A7.5+
A7.5+,A7
A7,Fm6
Fm6,G7
C,Fmaj7
Fmaj7,Em
Em,G7
G7,G11
G11,G7
C,F
F,C
C,F7
F7,E7
E7,Am7
Am7,B7
B7,G7
G7,Bdim
Bdim,Am
Am,E7
Am,Edim
Edim,F
F,G7
A7,Fm
Fm,G7
C,G7
C6,Am7
Am7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Am7
Cmaj7,C7
C7,Fmaj7
Fmaj7,Dm7
Dm7,C6
C6,D7
D7,Dm7
G7,C
C,Dm7
C,G7
Cmaj7,G7
G7,Dm7
G7,Am7
Am7,D7
G7,C6
C6,G7
Dm7,C
Dm7.5-,G9-
G9-,Cmaj7
Cmaj7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Dm7.5-
Cmaj7,Gbm7
Gbm7,B7
B7,Emaj7
Emaj7,Gbm7
Emaj7,Dm7
Cmaj7,Em7.5-
Em7.5-,A9-
A9-,D7
D7,G7
G7,Dm7.5-
Em7.5-,A7
A7,D7
D7,Dm7
G7,C6
Cmaj7,Bm7.5-
Bm7.5-,E9-
E9-,Am7
Am7,D7
D7,Gm7
Gm7,C7
C7,F7
F7,Fm7
Fm7,Bb7
Bb7,Em7
Em7,A7
A7,Ebm7
Ebm7,Ab7
Ab7,Dm7
Dm7,G7
G7,C
C,Am7
Am7,Dm7
Cmaj7,C7.5+
C7.5+,Fmaj7
Fmaj7,Gbdim
Gbdim,Em7
Em7,Ebdim
Ebdim,Dm7
Dm7,G7
G7,Em7.5-
Em7.5-,A9-
A9-,Dm7
G7,C6
C6,Dm7
G7,Cmaj7
Cmaj7,Em7.5-
Em7.5-,A7
A7,Dm7
G7,C
C,Dm7
C,E7
E7,Dm
Dm,A7
A7,Dm
Dm,G7
G7,C
C,Dm7
Dm7,Ebdim7
Ebdim7,C
C,Am7
Am7,Dm7
Dm7,G7
G7,G7.5+
G7.5+,C6
C6,G7.5+.9
G7.5+.9,C
G7,Em7.5-
Em7.5-,A7
Dm,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,D9
D9,Dm7
Dm7,Fm6
Fm6,C
G7.5+,C
Dm7,Dbm7
Dbm7,C6
C,Dbdim7
Dbdim7,Dm7
Dm7,G9
G9,C
C,A7
A7,Dm7
Dm7,G7.5+.9-
G7.5+.9-,C
C,Dm7
C,F
F,C
C,Em7
Em7,A7
Dm7,G9-
G9-,C
C,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,C
Dm7,Cmaj7
Cmaj7,Fmaj7
Cmaj7,F
F,Gbdim7
Gbdim7,C
Dm7,E7
E7,Am7
Am7,D7
D7,Dm7
Dm7,G7
G7,C
Dm7,Dbmaj7
Dbmaj7,Cmaj7
F,C6
C,Am7
Am7,Dm7
Dm7,G9
G9,Abdim7
Abdim7,Am
Am,Am7
Am7,Fmaj7
Fmaj7,Bm7.5-
Bm7.5-,Em7
Em7,A9-
A9-,Dm7
Dm7,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,Eb9
Eb9,Dm7
Dm7,G7
G7,Em
Em,A9-
G9,C
Dm7,Cm7
Cm7,Bm7.5-
G7,G9-
G9-,C
C,Gbm7.5-
Gbm7.5-,B7
B7,Em6
Em6,Dbm7.5-
Dbm7.5-,Gbm7
Gbm7,B7
B7,Em
Em,Dm7
Dm7,Ab11+
Ab11+,Dm7
Dm7,G9-
Eb9,Am7
Am7,G7.5+
G7.5+,Db9
Db9,C
C,Dm7
Dm7,G7.5+
G7.5+,Abmaj7
Abmaj7,Dbmaj7
Dbmaj7,Db6
Db6,C6.9
C6,C
C,Ebdim7
Ebdim7,Dm7
Dm7,G9
G9,Dm7
Dm7,G11
G11,C
C,Gm7
Gm7,C13
C13,F
F,A7
A7,D7
D7,Dm7
Dm7,C6
Dm7,G7
G7,Dm7
F,G7
G7,C6
C6,Em
Em,A7
A7,B9-
B9-,Em
Em,Gb7
Gb7,Gbm7
Gbm7,B7
B7,Em
Em,Gm
Gm,A7
D7,G7
Dm7,G5.11
G5.11,C7
C7,B7
B7,Gm7
Gm7,C7
C7,F
G7,Am
Am,Fm6
Fm6,C
C,Dm7
G7,C
C,C6
C6,F9
F9,Bbmaj7
Bbmaj7,Am7
Am7,D7
D7,Dm7.5-
Dm7.5-,G7
G7,Em7
Em7,A9
A9,Dm7
Dm7,G9-
G9-,Cmaj7
Cmaj7,C6
C6,Fm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,Cm7
Cm7,Fm7
Ebmaj7,Eb6
Eb6,Dm11
Dm11,G7
G7,Cmaj7
C6,Bm11
Bm11,E9
E9,Amaj7
Amaj7,A6
A6,Dm7
Dm7,G7
G7,Dm7.5-
G9-,C
C,Dm7
Dm7,Dbmaj7
Dbmaj7,C6.9
C,Cmaj7
Cmaj7,Cdim7
Cdim7,F
F,Fmaj7
Fmaj7,D9
D9,Am7
Am7,D9
D9,Bb6
Bb6,Bbm7
Bbm7,F
F,Am7.5-
Am7.5-,D7
D7,G9
G9,Gb7
Gb7,G7
G7,C
Bb6,Bbm
Bbm,F
F,D7
D7,D9
D9,G9
G9,Gm7
Gm7,C7
C7,F
F,Gm7
Gm7,Gbmaj7
Gbmaj7,F6.9
C,Bm7.5-
Bm7.5-,E9-
E9-,Am7
Am7,D9-
D9-,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,F6
F6,Fm7
Fm7,Bb9
Bb9,Ebmaj7
Ebmaj7,Ebm7
Ebm7,Ab9
Ab9,Dbmaj7
Dbmaj7,Db
Db,Dm7.5-
Dm7.5-,G9-
G9-,Em7
Em7,Eb7
Eb7,Dm7
Dm7,G7
G7,C
Bm7.5-,E7
E7,Am7
Am7,D7
D7,Gm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,Eb6
Eb6,Ebm7
Dbmaj7,Dm7.5-
Eb6,Eb7
Eb7,Ab7
Ab7,Dbmaj7
Dm7.5-,G7
G7,Em7
Dm7.5-,G9
G9,Em7
Em7,A7
A7,A7.5+
A7.5+,A7
A7,Dm7
C,G9+
G9+,G9
Em7,Dm7
Dm7,Dbmaj7
Dbmaj7,Cmaj7
Dm7.5-,G7
G7,Cmaj7
Cmaj7,Dm7.5-
Cmaj7,Gbm7.5-
Gbm7.5-,Fm7
Fm7,Em7
Em7,Ebdim7
Ebdim7,Dm7
Dm7,G7
Cmaj7,Bb7
Bb7,Ebmaj7
Ebmaj7,Cmaj7
Cmaj7,Ebmaj7
G7,Dm7
Dm7,C6
C6,D7
D7,G7
C,F
F,Fm6
Fm6,C
C,Dbdim7
Dbdim7,Dm7
Dm7,G7
G7,Dm7
G7,C
C,G7
C,D7
D7,Dm7
C,Dm7
Bm7,E9
E9,E9-
E9-,Am7
Am7,D7
D7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,Gbm7.5-
Gbm7.5-,B7
B7,Bm7
Bm7,E7
E7,Bm7
G7,Em7.5-
Em7.5-,A7.3-.5-.9-.11-.13-
A7.3-.5-.9-.11-.13-,Dm7
Dm7,Fm7
Fm7,Bb7
Bb7,Em7
Em7,A9-
A9-,D7
D7,Ab7
Ab7,Dm7
Dm7,G9-
G9-,C6
C6,E7
Cmaj7,E7.5+
E7.5+,Fmaj7
Fmaj7,A7.5+
A7.5+,Dm7
Dm7,A7.5+
A7.5+,D7
D7,G7
G7,Em7
Em7,Ebdim
Ebdim,Dm7
Dm7,G7
G7,Gm7
Gm7,C7
C7,F
F,Gbdim
Gbdim,C
C,Dm7
G7,C
B,D7
D7,G
G,Bb7
Bb7,Eb
Eb,Am7
Am7,D7
Eb,Gb7
Gb7,B
B,Fm7
Fm7,Bb9
Bb9,Eb
G,Dbm7
Dbm7,Gb7
Fm7,Bb7
Eb,Dbm7
C,Dbdim7
Dbdim7,Dm7
Dm7,Ebdim7
Ebdim7,C
C,E7
E7,Fmaj7
Fmaj7,Gbdim7
Gbdim7,C
C,D7
D7,G7
G7,A7
A7,Dm7
Dm7,G7
G7,C
Dbdim7,Dm
Dm,Ebdim7
G7,C7
C7,Fmaj7
Fmaj7,A7
A7,Dm
Dm,Am
Am,Dm
Dm,G7
G7,Em7
Em7,A9+
A9+,Dm7
D7,Dm
C,Am
Am,Dm7
C,F
F,C
Gbm7.5-,B9-
B9-,Dm7
Dm7,G7
G7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Bb7
Bb7,Cmaj7
Cmaj7,Gbm7.5-
B9-,Em7
Em7,Cm7
Cm7,F7
F7,Gmaj7
