Source,Target,Type
D7,Dm7,Directed
E7,Amaj7,Directed
Amaj7,A7,Directed
A7,Dm,Directed
Dm,Edim,Directed
Edim,Dm7,Directed
C,C6,Directed
G7,C5-/7,Directed
Dm7,A7/9-,Directed
A7/9-,Am,Directed
Dm,G7/9,Directed
G7/9,D#m7,Directed
D#m7,Cmaj7,Directed
G6,Adim,Directed
Adim,D7,Directed
D7,Amaj7,Directed
A7,Edim,Directed
Cdim,G7,Directed
G7,Cdim,Directed
G7,G9,Directed
G9,C,Directed
C,Fm6,Directed
Fm6,C6,Directed
C6,G7,Directed
G7,C,Directed
C,G7,Directed
C,A7,Directed
A7,Gm5-/7,Directed
Gm5-/7,A7,Directed
A7,A4/7,Directed
A4/7,A7,Directed
A4/7,D9,Directed
D9,D7,Directed
D7,D9,Directed
D9,G,Directed
G,Gmaj7,Directed
Gmaj7,G7,Directed
G7,Fdim,Directed
Fdim,Am,Directed
Am,E,Directed
E,Am7,Directed
Am7,D7,Directed
D7,Am7,Directed
Am7,D,Directed
D,Cdim,Directed
Cdim,G,Directed
G,Fdim,Directed
Fdim,G7,Directed
G7,G,Directed
G,C,Directed
C,G,Directed
D9,Am7,Directed
Am7,F,Directed
F,Fm,Directed
Fm,Cdim,Directed
Cdim,C,Directed
C,E7,Directed
E7,Am,Directed
Am,Cdim,Directed
C6,G,Directed
C6,Cdim,Directed
C6,C,Directed
C,Am,Directed
Am,F,Directed
F,C,Directed
C,F,Directed
C,Dm,Directed
Dm,G,Directed
G,C,Directed
C,Em,Directed
Em,F,Directed
F,Em,Directed
Em,Am,Directed
Am,D,Directed
D,Em,Directed
F,G,Directed
F,Dm,Directed
G,Em,Directed
Em,D,Directed
Am,Am7+,Directed
Am7+,Am7,Directed
Am7,Am6,Directed
Am6,Am,Directed
Am6,F,Directed
F,Dm7,Directed
Dm7,Dm6,Directed
Dm6,E7,Directed
E7,Dm,Directed
Dm,E7,Directed
E7,Am,Directed
Am,E7,Directed
E7,Am7,Directed
Dm7,Fm,Directed
Fm,G7,Directed
G7,C,Directed
C,G7,Directed
C,Dm7,Directed
Dm7,G7,Directed
Dm7,C,Directed
G7,Cmaj7,Directed
Cmaj7,Emaj7,Directed
Emaj7,E7,Directed
Am,Fmaj7,Directed
Fmaj7,F7,Directed
F7,E7,Directed
F,Bm5-/7,Directed
Bm5-/7,E7,Directed
Am,C7,Directed
C7,F,Directed
F,Fmaj7,Directed
Fmaj7,Dm7,Directed
C,F7,Directed
C,Fdim,Directed
Fdim,Cmaj7,Directed
Cmaj7,Am,Directed
Dm,Fm,Directed
C,Cmaj7,Directed
Emaj7,Fmaj7,Directed
C,Cdim,Directed
Cdim,Em5-/7,Directed
Em5-/7,A7,Directed
A7,Dm,Directed
Dm,Dm7,Directed
Dm7,A#7,Directed
A#7,G7,Directed
G7,C,Directed
C,F7,Directed
F7,A#7,Directed
A#7,D#6,Directed
D#6,Cdim,Directed
Cdim,G,Directed
G,D7,Directed
D7,Dm5-/7,Directed
Dm5-/7,G7,Directed
G7,G7/13-,Directed
G7/13-,C,Directed
Cdim,G7,Directed
G7,D7,Directed
D7,A#7,Directed
A#7,D#,Directed
D#,Dm5-/7,Directed
Dm5-/7,F#m5-/7,Directed
F#m5-/7,C7,Directed
C7,F4/7,Directed
F4/7,F7,Directed
F7,A,Directed
A,A#7,Directed
G7,C4,Directed
C4,D7,Directed
D7,G7,Directed
G7,F#m5-/7,Directed
F#m5-/7,C,Directed
Cdim,Dm,Directed
Dm,F#m5-/7,Directed
F,D7,Directed
D7,G,Directed
G,Fdim,Directed
Fdim,C,Directed
C,A7,Directed
A7,D7,Directed
D7,Ddim,Directed
Ddim,C6,Directed
C6,Cmaj7,Directed
Cmaj7,C9,Directed
C9,G7,Directed
G7,C,Directed
C,Cmaj7,Directed
Cmaj7,C6,Directed
C6,Am7,Directed
Am7,F,Directed
F,Dm7,Directed
Dm7,G7,Directed
C,G7,Directed
G7,F,Directed
F,F9,Directed
F9,C,Directed
G7,Am,Directed
Am,Am/D,Directed
Am/D,G7,Directed
C,F,Directed
F,G7,Directed
G7,Ddim,Directed
Ddim,C,Directed
Ddim,Am,Directed
Am,Am7,Directed
G7,C9,Directed
C6,C9,Directed
C9,E,Directed
E,E7,Directed
E7,Am,Directed
Am,F,Directed
Dm7,Ddim,Directed
A7,F,Directed
Cmaj7,F,Directed
A7,Ddim,Directed
G7,Am7,Directed
Am7,Dm7,Directed
Dm7,F9,Directed
F9,Am,Directed
Am/D,E,Directed
A#dim,Dm7,Directed
Dm7,G9,Directed
G9,C,Directed
C,Bm,Directed
Bm,D#m,Directed
D#m,Dm,Directed
Dm,Bm5-/7,Directed
Bm5-/7,E7,Directed
E7,Am,Directed
Am,Am7,Directed
Am7,D7,Directed
D7,Dm7,Directed
Dm7,G7,Directed
G7,A#dim,Directed
Am,Fm,Directed
Fm,C,Directed
C,D#7,Directed
D#7,Bm,Directed
Bm,Am7+,Directed
Am7+,Am7,Directed
Am7,D9,Directed
D9,D5-/7,Directed
D5-/7,Fm,Directed
C,Dm7,Directed
G7,Am,Directed
A#dim,G9,Directed
Am,Fdim,Directed
Fdim,C,Directed
C,F6,Directed
F6,C6,Directed
C6,A#dim,Directed
C7,F,Directed
F,C,Directed
C,F,Directed
C,G,Directed
G,C,Directed
C,C7,Directed
F,F7,Directed
F7,C,Directed
F,C#,Directed
C#,C7,Directed
G,F7,Directed
F7,C#,Directed
A,C,Directed
C,C9,Directed
C9,C,Directed
C9,B7,Directed
B7,Cmaj7,Directed
Cmaj7,Em5-/7,Directed
Em5-/7,A7,Directed
A7,F,Directed
F,F6,Directed
F6,Fmaj7,Directed
Fmaj7,Fm6,Directed
Fm6,C,Directed
C,Am,Directed
Am,F9,Directed
F9,G7,Directed
G7,C,Directed
Cmaj7,Am,Directed
Am,Em5-/7,Directed
C,F9,Directed
F9,G7/13,Directed
G7/13,C,Directed
C,G7,Directed
G7,G#dim,Directed
G#dim,G7,Directed
G7,Dm5-/7,Directed
Dm5-/7,C,Directed
Am,D7,Directed
D7,D#dim,Directed
D#dim,D7,Directed
D7,Dm5-/7,Directed
Dm5-/7,F,Directed
F,D#dim,Directed
D#dim,G7,Directed
C,G7,Directed
G7,C,Directed
C,F9,Directed
F9,C,Directed
C,Cmaj7,Directed
Cmaj7,D#dim,Directed
D#dim,G7,Directed
G7,F9,Directed
F9,G7,Directed
G7,Dm5-/7,Directed
Dm5-/7,C,Directed
F9,C7,Directed
C7,Gdim,Directed
Gdim,C7,Directed
C7,Fmaj7,Directed
Fmaj7,F6,Directed
F6,Am,Directed
Am,G7,Directed
G7,G#dim,Directed
G#dim,Am,Directed
Am,D7,Directed
D7,F9,Directed
F9,Dm5-/7,Directed
Dm5-/7,G7,Directed
G#dim,Dm5-/7,Directed
C,Am,Directed
Am,Dmaj7,Directed
Dmaj7,G7,Directed
C,C7,Directed
C7,F9,Directed
F9,Am,Directed
Am,G#dim,Directed
G#dim,G7,Directed
C,D7,Directed
D7,Dm5-/7,Directed
Dm5-/7,G,Directed
G,F9,Directed
F9,Gdim,Directed
Gdim,G7,Directed
Am,G,Directed
G,G#dim,Directed
G#dim,C,Directed
Am,Dm,Directed
Dm,Dm7/G,Directed
Dm7/G,Dm5-/7,Directed
Dm5-/7,Fm6,Directed
Fm6,C,Directed
F9,Cmaj7,Directed
Cdim,Adim,Directed
Adim,Gm,Directed
Gm,A7,Directed
A7,Fm5-/7,Directed
Fm5-/7,G9,Directed
G9,Dm7,Directed
Dm7,G7,Directed
G7,C,Directed
C,Cmaj7,Directed
Cmaj7,Am,Directed
Am,G9,Directed
Dm7,Fdim,Directed
Fdim,C6,Directed
C6,C,Directed
C,Cdim,Directed
Adim,D7,Directed
D7,Dm7,Directed
G7,Gm7,Directed
Gm7,Gm5-/7,Directed
Gm5-/7,A#dim,Directed
A#dim,F,Directed
F,Fmaj7,Directed
Fmaj7,Fdim,Directed
Fdim,C,Directed
C,Am,Directed
Am,Em,Directed
Em,Cdim,Directed
Cdim,G,Directed
G,Cdim,Directed
Cdim,Dm7,Directed
Dm7,E7,Directed
E7,Em5-/7,Directed
Em5-/7,A7,Directed
A7,Dm7,Directed
Dm7,A,Directed
A,Fm7,Directed
Fm7,Fm5-/7,Directed
Fm5-/7,C9,Directed
C9,C6,Directed
C6,Cdim,Directed
A7,Fm7,Directed
Fm5-/7,C,Directed
A7,D7,Directed
D7,G7,Directed
G7,C,Directed
C,G7,Directed
C,E7,Directed
E7,A7,Directed
D7,Am,Directed
Am,E7,Directed
E7,Am,Directed
E7,C,Directed
C,Cmaj7,Directed
Cmaj7,Em7/5-,Directed
Em7/5-,A7,Directed
C,A7,Directed
A7,Em5-/7,Directed
Em5-/7,A7,Directed
A7,Fdim,Directed
Fdim,A7,Directed
D7,Am7,Directed
Am7,D7,Directed
D7,Fdim,Directed
Fdim,D7,Directed
D7,G,Directed
G,Dm7,Directed
Dm7,G9,Directed
G9,Dm7,Directed
Dm7,G,Directed
Dm7,G7,Directed
G7,C,Directed
Cmaj7,G7,Directed
G7,G7/13-,Directed
G7/13-,C,Directed
Cmaj7,E7,Directed
Am,E7/13-,Directed
E7/13-,E7,Directed
E7,Am,Directed
E7,E7/A,Directed
E7/A,C,Directed
Cmaj7,Em5-/7,Directed
Am,Cmaj7,Directed
Am7,D7,Directed
D7,G,Directed
G,Bm5-/7,Directed
Bm5-/7,E7,Directed
E7,C,Directed
C,Cm7,Directed
Cm7,Dm7,Directed
Dm7,G7,Directed
G7,C,Directed
C,Cmaj7,Directed
Cmaj7,C9,Directed
C9,F,Directed
F,Fm,Directed
Fm,C,Directed
C,Cmaj7,Directed
Cmaj7,F,Directed
F,G7,Directed
C,Am,Directed
Am,G#7,Directed
G#7,G7,Directed
C,C7,Directed
C7,Fmaj7,Directed
Fmaj7,G7,Directed
G7,Em7,Directed
Em7,Am,Directed
Am,Dm7,Directed
Dm7,G,Directed
G,C,Directed
C,A7,Directed
A7,D7,Directed
D7,G7,Directed
Dm7,E7,Directed
E7,Am,Directed
Am,Am7,Directed
Am,D7,Directed
D7,Fdim,Directed
Fdim,G,Directed
G,Em7,Directed
C,Am7,Directed
C,G7,Directed
G7,C,Directed
C,Ddim,Directed
Ddim,Em,Directed
Em,G7,Directed
C,C6,Directed
C6,C7,Directed
C7,Cm,Directed
Cm,Cm6,Directed
Cm6,Cm7,Directed
Cm7,Gm,Directed
Gm,G9,Directed
G9,Gm,Directed
Gm,A#dim,Directed
A#dim,A7,Directed
A7,Fmaj7,Directed
Fmaj7,Ddim,Directed
Ddim,G7,Directed
G7,G4/7,Directed
G4/7,G7,Directed
C,F,Directed
F,C,Directed
C,F7,Directed
F7,E7,Directed
E7,Am,Directed
Am,Am5-/7,Directed
Am5-/7,A#,Directed
A#,C7,Directed
C7,Fdim,Directed
Fdim,Am,Directed
Am,Am7,Directed
Am7,E7,Directed
Am7,D7,Directed
D7,Fdim,Directed
Am,A#dim,Directed
A#dim,F,Directed
F,G7,Directed
G7,Dm7,Directed
Dm7,G7,Directed
C,F6,Directed
F6,C,Directed
G7,Ddim,Directed
Em,C6,Directed
G9,A#dim,Directed
Fmaj7,G4/7,Directed
G4/7,F,Directed
F,F7,Directed
C,G,Directed
G,C,Directed
C,F,Directed
F,G,Directed
C,A#,Directed
A#,F,Directed
F,C,Directed
C,D,Directed
D,G,Directed
C,A,Directed
A,F,Directed
G,F,Directed
F,A#,Directed
A#,D,Directed
Cmaj7,F6,Directed
F6,Cmaj7,Directed
Cmaj7,Dm,Directed
Dm,Em,Directed
Em,Dm,Directed
Dm,G7,Directed
G7,F6,Directed
F6,Fm7,Directed
Fm7,Dm,Directed
Dm,A5+,Directed
A5+,Dm7,Directed
Dm7,Dm6,Directed
Dm6,G,Directed
G,Cmaj7,Directed
Cmaj7,Fm,Directed
Fm,C#,Directed
C#,Cm,Directed
Cm,C,Directed
C,Fm,Directed
Fm,D#,Directed
D#,C#,Directed
C#,C7,Directed
C7,Fm,Directed
Cm,C7,Directed
C#,G7,Directed
G7,Cmaj7,Directed
G7,D,Directed
D,G9,Directed
G9,D,Directed
D,G,Directed
G,D,Directed
D,Em,Directed
Em,F#m,Directed
F#m,Em,Directed
Em,A7,Directed
A7,G,Directed
G,G9,Directed
G9,G,Directed
G,Gm7,Directed
Gm7,Em,Directed
A7,D,Directed
D,Cmaj7,Directed
F6,Dm,Directed
Em,G7,Directed
G7,Fm7,Directed
Fm7,A5+,Directed
G,Fm,Directed
C,D#,Directed
D#,C7,Directed
C7,D,Directed
G9,F#m,Directed
F#m,A7,Directed
A7,Gm7,Directed
Gm7,E,Directed
F,Fmaj7,Directed
Fmaj7,Dm7,Directed
Dm7,F,Directed
F,G4/7,Directed
G4/7,G7,Directed
G7,C,Directed
C,Am7,Directed
Am7,Dm7,Directed
Dm7,G7,Directed
C,G7/13,Directed
G7/13,C,Directed
C,C7,Directed
C7,C4/7,Directed
C4/7,F6,Directed
F6,F5,Directed
F5,Dm7,Directed
Dm7,Fm7,Directed
Fm7,C,Directed
C,A#dim,Directed
A#dim,F,Directed
F,G7,Directed
C,A7,Directed
A7,D7/9,Directed
D7/9,D7,Directed
D7,F,Directed
C,F,Directed
Am7,G7/13,Directed
G7/13,C7,Directed
F5,Fm7,Directed
Fm7,A#dim,Directed
A#dim,A7,Directed
