Source;Target;Type
Gm;A#;Directed
G7/13-;C;Directed
G;Fm;Directed
Gdim;C7;Directed
D#;C;Directed
D#7;G#;Directed
Dm;Fdim;Directed
F#7;G#7;Directed
Dm;A#7;Directed
Em7;A;Directed
G7+;C7+;Directed
G;D;Directed
Gdim;D7;Directed
C6;E4/7;Directed
Dm7;A7/9-;Directed
Am5+;F;Directed
G;Cmaj7;Directed
G7/9;C7;Directed
F;D#dim;Directed
F;F6;Directed
F7;C#;Directed
A#dim;Gm7;Directed
C#;Am;Directed
C;G4/7;Directed
G#dim;Dm5-/7;Directed
C;D#;Directed
A#9;E7;Directed
G7/9-;Cmaj7;Directed
G7;Am5-/7;Directed
Dm7;G7/9-;Directed
C7;D;Directed
D#m7;Cmaj7;Directed
D#dim;G#9;Directed
F#m5-/7;F;Directed
C;G#7;Directed
Gdim;Cdim;Directed
D#7;Bm;Directed
G;G7/13-;Directed
D#;A#;Directed
G#7;F#;Directed
Am;G#dim;Directed
Am;Dmaj7;Directed
F#m5-/7;C7;Directed
D7;Amaj7;Directed
Cdim7;G/F#;Directed
Gm;A#dim;Directed
F#m7;B7;Directed
E7/13-;Am7;Directed
Fm7;A5+;Directed
C7;G7/13-;Directed
C6;A#dim;Directed
G;B7;Directed
G7;C5-/7;Directed
A#6/C;F;Directed
A#dim;Am5-/7;Directed
G6;E7;Directed
Dm7;Cdim;Directed
Fmaj7;F/D;Directed
F;F#;Directed
Adim;Am;Directed
Dm7;A#6;Directed
C;Cm;Directed
F;E;Directed
Am;Dm5-/7;Directed
D7;Ddim;Directed
C;G#dim;Directed
Em6;Fm;Directed
Am;Am7+;Directed
Gsus4;C;Directed
Am;Am/D;Directed
Bm;D#m;Directed
Bb;A;Directed
A7;Fdim;Directed
Dm7+;Dm7;Directed
Am;D#dim;Directed
A#;E7;Directed
A#7;E7;Directed
Cmaj7;Am;Directed
Em;Dm;Directed
C7;Fdim;Directed
C#;B;Directed
A#;Fm;Directed
F#maj7;Fmaj7;Directed
B7;Cdim;Directed
G;Ddim;Directed
C;Bm4/7;Directed
F#m7;Em7;Directed
G;Gm;Directed
Dm;Em;Directed
Fdim;A;Directed
Dm7/9;G7/13-;Directed
Gm;F7;Directed
A#m6;D;Directed
G;Em7;Directed
Em;A#;Directed
F;Bb;Directed
D7;G7/9;Directed
C;Dm5-/7;Directed
F7;A7;Directed
E4/7;E7;Directed
A#;G;Directed
Fm6;Gm;Directed
G7;C6/9;Directed
C4/7;Gm;Directed
C6;D#dim;Directed
C;D#dim;Directed
C4;D7;Directed
B;F#;Directed
Fm;C#;Directed
C9;Cm;Directed
B;E;Directed
Cmaj7;Emaj7;Directed
A7;Gdim;Directed
D#;F7;Directed
Am;E;Directed
C9;Gm7;Directed
G4/7/9;G7/9-;Directed
A#6;A#m6;Directed
G;G9;Directed
F#7;E;Directed
Dm;C7;Directed
Bdim;Gm7;Directed
Edim;Dm7;Directed
Dm7;Dm7/5-;Directed
A#/A;A#;Directed
Dm;D7;Directed
G;Em;Directed
F6;Dm;Directed
F9;Am;Directed
C;A#maj7;Directed
F7;Gm7;Directed
G;G7;Directed
Dm5-/7;C;Directed
C#;F#dim;Directed
D#9;Fm5-/7;Directed
F6;A#;Directed
G#7;G5+;Directed
E;Dm;Directed
Am;Fm;Directed
G9/13-;Em7;Directed
A4/7;A7;Directed
Fdim;Cmaj7;Directed
F#7;E7;Directed
Fdim;G;Directed
Em5-/7;A7;Directed
Bb;G7/13-;Directed
G7;Fdim;Directed
D#m7;G7;Directed
C7;C4/7;Directed
A#maj7;G#maj7;Directed
Am7;Gdim;Directed
C7;G7;Directed
G7;A#7;Directed
F#;G;Directed
Bm;Em;Directed
A#7;Em7;Directed
G7;F9;Directed
G#;A#7;Directed
E7;Cm;Directed
A#m;C7/5+;Directed
C7;A#/A;Directed
G/C;Dm7;Directed
F5;Dm7;Directed
Cmaj7;C/A;Directed
G;Dm;Directed
D;C;Directed
Amaj7;Am;Directed
A7;Fm5-/7;Directed
A7;F;Directed
G7/9;E7;Directed
Am;G#;Directed
Fm;A7;Directed
Am7+;Am7;Directed
E7/A;C;Directed
G;Dm7/9;Directed
Am6;Bm7;Directed
