Source;Target;Type;Id;Label;Weight
59.0;50.0;Directed;;;
116.0;200.0;Directed;;;
198.0;199.0;Directed;;;
137.0;191.0;Directed;;;
116.0;184.0;Directed;;;
198.0;116.0;Directed;;;
132.0;186.0;Directed;;;
198.0;132.0;Directed;;;
200.0;116.0;Directed;;;
191.0;176.0;Directed;;;
184.0;198.0;Directed;;;
199.0;198.0;Directed;;;
198.0;233.0;Directed;;;
50.0;199.0;Directed;;;
91.0;59.0;Directed;;;
186.0;116.0;Directed;;;
116.0;198.0;Directed;;;
233.0;135.0;Directed;;;
198.0;229.0;Directed;;;
199.0;200.0;Directed;;;
135.0;137.0;Directed;;;
176.0;91.0;Directed;;;
229.0;198.0;Directed;;;
185.0;198.0;Directed;;;
116.0;185.0;Directed;;;
193.0;240.0;Directed;;;
135.0;178.0;Directed;;;
135.0;193.0;Directed;;;
19.0;193.0;Directed;;;
230.0;135.0;Directed;;;
193.0;198.0;Directed;;;
135.0;168.0;Directed;;;
178.0;116.0;Directed;;;
135.0;19.0;Directed;;;
168.0;19.0;Directed;;;
198.0;168.0;Directed;;;
230.0;213.0;Directed;;;
137.0;178.0;Directed;;;
116.0;19.0;Directed;;;
198.0;135.0;Directed;;;
213.0;178.0;Directed;;;
178.0;135.0;Directed;;;
135.0;137.0;Directed;;;
168.0;198.0;Directed;;;
240.0;135.0;Directed;;;
135.0;230.0;Directed;;;
116.0;199.0;Directed;;;
174.0;116.0;Directed;;;
116.0;156.0;Directed;;;
59.0;176.0;Directed;;;
193.0;201.0;Directed;;;
198.0;199.0;Directed;;;
176.0;199.0;Directed;;;
224.0;73.0;Directed;;;
198.0;116.0;Directed;;;
156.0;176.0;Directed;;;
198.0;156.0;Directed;;;
132.0;212.0;Directed;;;
201.0;199.0;Directed;;;
199.0;198.0;Directed;;;
156.0;199.0;Directed;;;
198.0;193.0;Directed;;;
156.0;132.0;Directed;;;
73.0;173.0;Directed;;;
237.0;59.0;Directed;;;
176.0;205.0;Directed;;;
212.0;224.0;Directed;;;
205.0;174.0;Directed;;;
199.0;116.0;Directed;;;
132.0;156.0;Directed;;;
173.0;214.0;Directed;;;
214.0;237.0;Directed;;;
45.0;59.0;Directed;;;
191.0;186.0;Directed;;;
19.0;193.0;Directed;;;
207.0;116.0;Directed;;;
170.0;224.0;Directed;;;
83.0;132.0;Directed;;;
116.0;163.0;Directed;;;
225.0;75.0;Directed;;;
198.0;199.0;Directed;;;
163.0;199.0;Directed;;;
116.0;230.0;Directed;;;
137.0;191.0;Directed;;;
73.0;168.0;Directed;;;
198.0;116.0;Directed;;;
59.0;197.0;Directed;;;
168.0;171.0;Directed;;;
200.0;116.0;Directed;;;
171.0;170.0;Directed;;;
199.0;198.0;Directed;;;
21.0;19.0;Directed;;;
193.0;240.0;Directed;;;
59.0;175.0;Directed;;;
198.0;193.0;Directed;;;
156.0;137.0;Directed;;;
116.0;83.0;Directed;;;
75.0;73.0;Directed;;;
186.0;116.0;Directed;;;
175.0;240.0;Directed;;;
230.0;21.0;Directed;;;
224.0;75.0;Directed;;;
168.0;170.0;Directed;;;
197.0;59.0;Directed;;;
