Source;Target;Type;Id;Label;Weight
105;102;Directed;;;
28;135;Directed;;;
207;170;Directed;;;
69;154;Directed;;;
35;30;Directed;;;
84;200;Directed;;;
198;133;Directed;;;
90;191;Directed;;;
84;120;Directed;;;
198;84;Directed;;;
87;186;Directed;;;
198;87;Directed;;;
200;84;Directed;;;
191;176;Directed;;;
120;198;Directed;;;
133;198;Directed;;;
198;233;Directed;;;
30;133;Directed;;;
61;35;Directed;;;
186;84;Directed;;;
84;198;Directed;;;
233;89;Directed;;;
198;229;Directed;;;
133;200;Directed;;;
89;90;Directed;;;
176;61;Directed;;;
229;198;Directed;;;
121;198;Directed;;;
84;121;Directed;;;
129;162;Directed;;;
89;178;Directed;;;
89;129;Directed;;;
3;129;Directed;;;
230;89;Directed;;;
129;198;Directed;;;
89;168;Directed;;;
178;84;Directed;;;
89;3;Directed;;;
168;3;Directed;;;
198;108;Directed;;;
230;213;Directed;;;
90;178;Directed;;;
84;3;Directed;;;
198;89;Directed;;;
213;178;Directed;;;
178;89;Directed;;;
89;90;Directed;;;
108;198;Directed;;;
162;89;Directed;;;
89;230;Directed;;;
84;133;Directed;;;
174;84;Directed;;;
84;105;Directed;;;
35;112;Directed;;;
129;134;Directed;;;
198;133;Directed;;;
176;133;Directed;;;
224;45;Directed;;;
198;84;Directed;;;
105;176;Directed;;;
198;105;Directed;;;
87;140;Directed;;;
134;133;Directed;;;
133;198;Directed;;;
105;133;Directed;;;
198;129;Directed;;;
105;87;Directed;;;
45;173;Directed;;;
237;35;Directed;;;
112;205;Directed;;;
140;224;Directed;;;
205;174;Directed;;;
133;84;Directed;;;
87;105;Directed;;;
173;141;Directed;;;
141;237;Directed;;;
25;35;Directed;;;
191;186;Directed;;;
3;129;Directed;;;
207;84;Directed;;;
170;224;Directed;;;
55;87;Directed;;;
84;163;Directed;;;
225;47;Directed;;;
198;133;Directed;;;
163;133;Directed;;;
84;230;Directed;;;
90;191;Directed;;;
45;168;Directed;;;
198;84;Directed;;;
35;197;Directed;;;
168;171;Directed;;;
200;84;Directed;;;
171;170;Directed;;;
133;198;Directed;;;
5;3;Directed;;;
129;240;Directed;;;
35;111;Directed;;;
198;129;Directed;;;
105;90;Directed;;;
84;55;Directed;;;
47;45;Directed;;;
186;84;Directed;;;
111;240;Directed;;;
230;5;Directed;;;
224;47;Directed;;;
168;170;Directed;;;
197;35;Directed;;;
84;198;Directed;;;
129;47;Directed;;;
133;200;Directed;;;
45;197;Directed;;;
240;207;Directed;;;
170;225;Directed;;;
84;45;Directed;;;
45;105;Directed;;;
197;25;Directed;;;
105;110;Directed;;;
133;120;Directed;;;
25;35;Directed;;;
172;14;Directed;;;
110;133;Directed;;;
203;105;Directed;;;
133;150;Directed;;;
108;188;Directed;;;
108;133;Directed;;;
185;224;Directed;;;
224;45;Directed;;;
198;203;Directed;;;
198;87;Directed;;;
105;225;Directed;;;
133;186;Directed;;;
188;61;Directed;;;
52;173;Directed;;;
123;224;Directed;;;
133;198;Directed;;;
35;108;Directed;;;
198;172;Directed;;;
173;185;Directed;;;
57;105;Directed;;;
45;140;Directed;;;
140;185;Directed;;;
186;57;Directed;;;
225;52;Directed;;;
150;3;Directed;;;
125;105;Directed;;;
105;35;Directed;;;
188;57;Directed;;;
45;237;Directed;;;
61;108;Directed;;;
14;112;Directed;;;
133;188;Directed;;;
3;14;Directed;;;
14;133;Directed;;;
140;123;Directed;;;
108;198;Directed;;;
112;125;Directed;;;
120;108;Directed;;;
237;25;Directed;;;
172;14;Directed;;;
205;170;Directed;;;
170;35;Directed;;;
198;170;Directed;;;
150;35;Directed;;;
142;34;Directed;;;
133;205;Directed;;;
105;198;Directed;;;
84;172;Directed;;;
181;80;Directed;;;
207;105;Directed;;;
35;191;Directed;;;
35;133;Directed;;;
198;84;Directed;;;
125;106;Directed;;;
205;105;Directed;;;
133;125;Directed;;;
191;133;Directed;;;
133;198;Directed;;;
133;207;Directed;;;
225;52;Directed;;;
105;133;Directed;;;
105;142;Directed;;;
34;225;Directed;;;
105;172;Directed;;;
105;181;Directed;;;
14;133;Directed;;;
80;142;Directed;;;
142;105;Directed;;;
52;150;Directed;;;
74;226;Directed;;;
86;191;Directed;;;
34;181;Directed;;;
226;52;Directed;;;
146;142;Directed;;;
150;35;Directed;;;
39;225;Directed;;;
191;146;Directed;;;
181;150;Directed;;;
31;236;Directed;;;
192;74;Directed;;;
31;181;Directed;;;
181;52;Directed;;;
225;86;Directed;;;
150;31;Directed;;;
236;95;Directed;;;
52;173;Directed;;;
155;79;Directed;;;
143;31;Directed;;;
112;236;Directed;;;
41;69;Directed;;;
35;178;Directed;;;
142;39;Directed;;;
78;39;Directed;;;
35;181;Directed;;;
69;155;Directed;;;
181;143;Directed;;;
39;178;Directed;;;
181;39;Directed;;;
173;41;Directed;;;
95;192;Directed;;;
225;79;Directed;;;
178;34;Directed;;;
52;181;Directed;;;
192;112;Directed;;;
143;36;Directed;;;
143;39;Directed;;;
79;143;Directed;;;
146;78;Directed;;;
79;146;Directed;;;
3;133;Directed;;;
31;133;Directed;;;
191;80;Directed;;;
80;142;Directed;;;
198;105;Directed;;;
31;80;Directed;;;
142;31;Directed;;;
31;3;Directed;;;
133;198;Directed;;;
105;191;Directed;;;
105;116;Directed;;;
105;125;Directed;;;
115;105;Directed;;;
108;133;Directed;;;
170;10;Directed;;;
133;116;Directed;;;
61;170;Directed;;;
133;61;Directed;;;
105;115;Directed;;;
133;204;Directed;;;
10;133;Directed;;;
133;115;Directed;;;
116;105;Directed;;;
204;105;Directed;;;
105;108;Directed;;;
12;133;Directed;;;
125;217;Directed;;;
123;12;Directed;;;
217;123;Directed;;;
172;14;Directed;;;
207;133;Directed;;;
53;133;Directed;;;
133;187;Directed;;;
84;35;Directed;;;
207;87;Directed;;;
84;163;Directed;;;
163;133;Directed;;;
207;105;Directed;;;
129;207;Directed;;;
35;133;Directed;;;
187;84;Directed;;;
198;105;Directed;;;
133;198;Directed;;;
133;207;Directed;;;
163;129;Directed;;;
105;84;Directed;;;
105;172;Directed;;;
53;131;Directed;;;
131;53;Directed;;;
14;133;Directed;;;
133;53;Directed;;;
133;187;Directed;;;
198;170;Directed;;;
142;162;Directed;;;
170;178;Directed;;;
178;133;Directed;;;
233;133;Directed;;;
35;133;Directed;;;
198;87;Directed;;;
191;170;Directed;;;
198;105;Directed;;;
187;105;Directed;;;
133;198;Directed;;;
105;191;Directed;;;
162;133;Directed;;;
105;142;Directed;;;
170;3;Directed;;;
105;35;Directed;;;
3;133;Directed;;;
133;233;Directed;;;
84;133;Directed;;;
52;168;Directed;;;
31;84;Directed;;;
174;84;Directed;;;
84;35;Directed;;;
205;133;Directed;;;
133;205;Directed;;;
84;163;Directed;;;
198;133;Directed;;;
205;84;Directed;;;
163;133;Directed;;;
168;34;Directed;;;
108;84;Directed;;;
35;133;Directed;;;
45;168;Directed;;;
34;168;Directed;;;
176;84;Directed;;;
198;84;Directed;;;
168;52;Directed;;;
205;35;Directed;;;
35;84;Directed;;;
24;35;Directed;;;
35;137;Directed;;;
84;205;Directed;;;
35;108;Directed;;;
133;198;Directed;;;
84;31;Directed;;;
84;174;Directed;;;
84;186;Directed;;;
186;84;Directed;;;
137;198;Directed;;;
